Band,Count,Concerts
Leprous,2,"         Date                       Bands   City         Venue
0  12/02/2023  Leprous;Monuments;Kalandra  Paris  Salle Pleyel
1  05/03/2024     Leprous;Fight The Fight   Lyon    La Rayonne"
Meshuggah,2,"         Date                                              Bands                       City                Venue
0  04/08/2019  Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019
1  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...                    Clisson        Hellfest 2023"
Unprocessed,2,"         Date                                      Bands   City       Venue
0  20/01/2024  Tesseract;Unprocessed;The Callous Daoboys   Lyon  La Rayonne
1  23/01/2024  Tesseract;Unprocessed;The Callous Daoboys  Paris    Bataclan"
Unearth,2,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022
1  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...                    Clisson        Hellfest 2023"
Motionless In White,2,"         Date                                              Bands     City            Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson    Hellfest 2023
1  20/06/2023  Lorna Shore;Motionless In White;The Amity Affl...     Lyon  Le Transbordeur"
Primal Rage,1,"         Date                                              Bands                       City                Venue
0  04/08/2023  Primal Rage;Electric Jaguar Baby;Prismeria;Ale...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Powerwolf,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Malevolence,1,"         Date                                           Bands  City            Venue
0  08/02/2023  Trivium;Heaven Shall Burn;Malevolence;Obituary  Lyon  Le Transbordeur"
Mars Red Sky,1,"         Date                                              Bands                City              Venue
0  05/07/2024  Drive North;Blackrain;Beast In Black;Point Mor...  Colombier-Saugnieu  Plane'R Fest 2024"
Prismeria,1,"         Date                                              Bands                       City                Venue
0  04/08/2023  Primal Rage;Electric Jaguar Baby;Prismeria;Ale...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
